cod_mun,risk_prob,high_risk
0110001,0.0533494125464668,0
0110001,0.04526751349167436,0
0110001,0.030951436023634753,0
0110001,0.043055253444287137,0
0110001,0.02703759570335311,0
0110002,0.019552882762357147,0
0110002,0.03085707484626594,0
0110002,0.0385407581320096,0
0110002,0.031169769737216756,0
0110002,0.048195772800450676,0
0110003,0.007449283326464258,0
0110003,0.012118490157652335,0
0110003,0.007152807801455945,0
0110003,0.007244278838133916,0
0110003,0.009621380683168907,0
0110004,0.05359879861941867,0
0110004,0.058567322302798173,0
0110004,0.05124986811984097,0
0110004,0.05568542034309314,0
0110004,0.02695252212792427,0
0110005,0.02720180378211366,0
0110005,0.02944249997220973,0
0110005,0.02465652071378832,0
0110005,0.031559962199132985,0
0110005,0.01929022239628314,0
0110006,0.026525925548984274,0
0110006,0.0162853397550867,0
0110006,0.013726688937718714,0
0110006,0.009297630375346375,0
0110006,0.004706478570246566,0
0110007,0.03603200719612796,0
0110007,0.014546174964107008,0
0110007,0.024269400394131585,0
0110007,0.02180215878252351,0
0110007,0.011783804193118268,0
0110008,0.030818046810486624,0
0110008,0.024274858009973088,0
0110008,0.021764078961386366,0
0110008,0.02132063080734318,0
0110008,0.017200852782764814,0
0110009,0.04814377027124901,0
0110009,0.03609515086944838,0
0110009,0.038583097741892385,0
0110009,0.0458610137478238,0
0110009,0.046036665199648254,0
0110010,0.07414906470754483,0
0110010,0.06296716699200507,0
0110010,0.07521932780437016,0
0110010,0.07759791777600347,0
0110010,0.037912383205355185,0
0110011,0.019068784067590838,0
0110011,0.031224488274695563,0
0110011,0.03126121102185453,0
0110011,0.0313526473391533,0
0110011,0.03420056265337932,0
0110012,0.1268241481505332,0
0110012,0.1022031118132616,0
0110012,0.09697185303770615,0
0110012,0.10217397320212473,0
0110012,0.09416344882223449,0
0110013,0.07493527625458601,0
0110013,0.03368555660397552,0
0110013,0.031065800855772607,0
0110013,0.045523059184070805,0
0110013,0.04324237723817353,0
0110014,0.016655196832812517,0
0110014,0.031533004866358565,0
0110014,0.016813485633536997,0
0110014,0.014277208418059963,0
0110014,0.00947839782560036,0
0110015,0.024282715361549224,0
0110015,0.016709142557224096,0
0110015,0.02389002226997095,0
0110015,0.024129158091973534,0
