cod_mun,risk_prob,high_risk
0110001,0.014048825807472583,0
0110001,0.03395883372016773,0
0110001,0.01651225358696134,0
0110001,0.01420519570926729,0
0110001,0.021775080294375835,0
0110002,0.054779560116216326,0
0110002,0.02363510402197609,0
0110002,0.018802280233496324,0
0110002,0.018837931015339315,0
0110002,0.028390115136635773,0
0110003,0.0090462565214994,0
0110003,0.03162966331569816,0
0110003,0.0023985637342908437,0
0110003,0.0,0
0110003,0.004127944609642472,0
0110004,0.01593889817351589,0
0110004,0.03328166062419784,0
0110004,0.03374427690630411,0
0110004,0.0386117560334604,0
0110004,0.019095797383853984,0
0110005,0.017049716110993155,0
0110005,0.04586533592454671,0
0110005,0.0169371989025133,0
0110005,0.0169371989025133,0
0110005,0.019740529442024063,0
0110006,0.0024005834829443446,0
0110006,0.022037609724447075,0
0110006,0.009807941303409583,0
0110006,0.007400246858168761,0
0110006,0.0074649712387338885,0
0110007,0.02416111630130392,0
0110007,0.036007946597741224,0
0110007,0.014200399064925215,0
0110007,0.02158629562943721,0
0110007,0.014401283871972752,0
0110008,0.02638498617699224,0
0110008,0.01945358534323295,0
0110008,0.021483379342735583,0
0110008,0.009405088434513972,0
0110008,0.011955218858508063,0
0110009,0.05771620919775185,0
0110009,0.07245470003241503,0
0110009,0.0407237873020841,0
0110009,0.040498997112923624,0
0110009,0.026582474272891524,0
0110010,0.07337709876081433,0
0110010,0.06228825211424096,0
0110010,0.038007554441044776,0
0110010,0.045143120596418916,0
0110010,0.05304370972893216,0
0110011,0.019633357041917706,0
0110011,0.02122390324685026,0
0110011,0.014818771958618193,0
0110011,0.02651323508652307,0
0110011,0.00976425689307042,0
0110012,0.11645141719826058,0
0110012,0.09362595388266513,0
0110012,0.06961549039588998,0
0110012,0.07451250732921774,0
0110012,0.05435194098479183,0
0110013,0.05804676763105086,0
0110013,0.036051138699612385,0
0110013,0.01894270352093705,0
0110013,0.02635659536061313,0
0110013,0.03355856980270662,0
0110014,0.02414987470046104,0
0110014,0.021528058808816707,0
0110014,0.012008599576958035,0
0110014,0.014744384090676221,0
0110014,0.005,0
0110015,0.004961999753345255,0
0110015,0.014441664499121125,0
0110015,0.009281590230658861,0
0110015,0.009383028071601006,0
0110015,0.004425468027213097,0
0110018,0.01930322578426581,0
0110018,0.08911742590364559,0
0110018,0.02916817855347453,0
0110018,0.05793100509925402,0
0110018,0.024274576507807753,0
0110020,0.42609642108027757,1
0110020,0.3229885332290277,0
0110020,0.2766305189937322,0
0110020,0.29695969777482234,0
0110020,0.1833381366843317,0
0110025,0.014364659187095806,0
0110025,0.03128153155879895,0
0110025,0.0221082521572017,0
0110025,0.02439774946420349,0
0110025,0.021876688365020325,0
0110026,0.012356858256103198,0
0110026,0.011859312963513256,0
